Rounds [TEST DATE: 2019-12-06 02:36],Keygen Time,Encryption Time,Decryption Time
Average Time,85.83152309500004,115.06514671100012,78.40910572899993
#1,69.141217,109.601878,76.50814
#2,74.271073,112.850547,78.176221
#3,78.094253,112.655873,75.392679
#4,89.232073,114.94246,78.97218
#5,89.093874,113.532677,78.815236
#6,69.769982,114.02949,79.699399
#7,80.792965,114.302206,78.392582
#8,83.704762,112.678127,73.951819
#9,84.689205,116.330158,80.228951
#10,102.778244,115.326717,77.458327
#11,77.687593,114.306224,80.628048
#12,75.05503,113.616765,78.441957
#13,76.681149,115.075288,78.680594
#14,80.048149,113.310831,78.302276
#15,88.472089,116.961813,79.118046
#16,72.332151,115.182842,78.370449
#17,74.71657,113.812635,78.830522
#18,90.143859,119.748309,80.382282
#19,74.849295,114.050489,78.376069
#20,78.401011,113.02385,76.231155
#21,78.254011,114.589307,79.564036
#22,86.407047,114.19306,79.284485
#23,74.014333,113.672902,77.899054
#24,82.502098,114.773979,78.954792
#25,76.606677,113.806072,79.142768
#26,72.25485,114.191177,79.131513
#27,82.909503,118.349527,79.378026
#28,71.792275,114.055554,77.610407
#29,73.433243,115.806057,82.637683
#30,116.684566,146.934495,75.999466
#31,80.589203,115.368903,78.520117
#32,78.069154,114.303297,77.339287
#33,73.31625,113.981129,78.754683
#34,84.173164,113.941582,75.88887
#35,83.013624,114.272231,78.864129
#36,92.864561,111.688599,74.751715
#37,72.701366,114.482161,78.459099
#38,105.307344,115.650647,78.148976
#39,70.174033,113.173909,78.243204
#40,77.703044,114.195462,78.752463
#41,73.122004,114.857784,78.418583
#42,75.309641,113.819072,79.141151
#43,82.697689,115.110709,80.002045
#44,91.693929,116.759779,79.053067
#45,88.523076,116.929929,79.374863
#46,84.332488,115.668454,80.044903
#47,78.57856,115.100754,80.648746
#48,78.429415,115.013215,78.91333
#49,101.749238,115.977237,77.596543
#50,88.735155,114.009854,74.593698
#51,90.112617,117.330357,78.632342
#52,84.415408,112.567149,76.608299
#53,97.578829,117.392528,79.675394
#54,86.235807,112.892939,78.553459
#55,94.565851,117.387714,78.548149
#56,69.984763,115.509195,79.44142
#57,83.63869,113.014769,79.345726
#58,74.975769,114.428706,78.682021
#59,82.453259,115.172146,77.097681
#60,81.701827,114.157671,77.951232
#61,71.563576,114.523985,78.427535
#62,74.938856,114.199777,79.238253
#63,73.124431,114.144009,78.573969
#64,74.864446,113.97965,78.514761
#65,90.686558,116.849047,77.475887
#66,96.480687,113.153675,74.507813
#67,99.193693,114.066818,77.346326
#68,84.456049,113.49306,78.811442
#69,99.788499,115.587963,78.493158
#70,76.96069,115.90631,75.61705
#71,99.191214,114.983398,75.742394
#72,90.296922,114.454205,74.518183
#73,90.389888,113.208881,95.714535
#74,117.701733,119.72007,81.371855
#75,117.445924,114.438956,75.867937
#76,94.579831,115.800701,76.339539
#77,96.262163,113.125495,77.243021
#78,87.487662,116.531993,79.809084
#79,73.357049,114.50482,79.149993
#80,85.197719,115.201248,78.047049
#81,86.323168,115.750253,78.662802
#82,78.25374,116.229676,78.497362
#83,74.734833,113.164124,79.433241
#84,93.885922,116.519378,77.371797
#85,75.398577,113.14214,74.088205
#86,82.408909,112.10333,76.475988
#87,91.620885,112.391392,77.476077
#88,103.450356,116.5247,77.723166
#89,82.670467,110.138946,77.420747
#90,77.652207,110.531936,74.557468
#91,75.496539,114.106612,77.007932
#92,70.763364,114.013822,79.547622
#93,82.884543,114.530762,76.913773
#94,76.314967,114.094784,77.460346
#95,84.640414,113.889402,78.424081
#96,84.340916,116.059266,78.625542
#97,90.469916,116.523147,78.423785
#98,89.164215,115.614366,78.110111
#99,98.078137,117.359554,79.258057
#100,74.282689,113.478295,78.54865
#101,74.512253,114.010875,78.648957
#102,90.030559,112.070021,78.153642
#103,103.868663,111.485884,76.746558
#104,71.688814,110.384639,74.57152
#105,91.838531,114.816031,76.562931
#106,87.277071,115.989044,78.094954
#107,105.936044,116.431238,78.742923
#108,81.133918,115.180496,76.585278
#109,76.755324,114.626146,78.640108
